Date;Price;Vol;%Change
Apr 07, 2020;99.90;-;-0.78%
Apr 06, 2020;100.69;-;0.11%
Apr 03, 2020;100.58;-;0.40%
Apr 02, 2020;100.18;-;0.51%
Apr 01, 2020;99.67;-;0.63%
Mar 31, 2020;99.05;-;-0.13%
Mar 30, 2020;99.18;-;0.83%
Mar 27, 2020;98.36;-;-1.00%
Mar 26, 2020;99.35;-;-1.68%
Mar 25, 2020;101.05;-;-0.97%
Mar 24, 2020;102.04;-;-0.44%
Mar 23, 2020;102.49;-;-0.32%
Mar 20, 2020;102.82;-;0.07%
Mar 19, 2020;102.75;-;1.57%
Mar 18, 2020;101.16;-;1.59%
Mar 17, 2020;99.58;-;1.54%
Mar 16, 2020;98.07;-;-0.69%
Mar 13, 2020;98.75;-;1.31%
Mar 12, 2020;97.47;-;0.99%
Mar 11, 2020;96.51;-;0.10%
Mar 10, 2020;96.41;-;1.60%
Mar 09, 2020;94.89;-;-1.10%
Mar 06, 2020;95.95;-;-0.90%
Mar 05, 2020;96.82;-;-0.53%
Mar 04, 2020;97.34;-;0.20%
Mar 03, 2020;97.15;-;-0.22%
Mar 02, 2020;97.36;-;-0.78%
Feb 28, 2020;98.13;-;-0.39%
Feb 27, 2020;98.51;-;-0.49%
Feb 26, 2020;99.00;-;0.03%
Feb 25, 2020;98.97;-;-0.39%
Feb 24, 2020;99.36;-;0.10%
Feb 21, 2020;99.26;-;-0.60%
Feb 20, 2020;99.86;-;0.16%
Feb 19, 2020;99.70;-;0.26%
Feb 18, 2020;99.44;-;0.44%
Feb 17, 2020;99.00;-;-0.12%
Feb 14, 2020;99.12;-;0.05%
Feb 13, 2020;99.07;-;0.02%
Feb 12, 2020;99.05;-;0.33%
Feb 11, 2020;98.72;-;-0.11%
Feb 10, 2020;98.83;-;0.15%
Feb 07, 2020;98.68;-;0.18%
Feb 06, 2020;98.50;-;0.20%
Feb 05, 2020;98.30;-;0.35%
Feb 04, 2020;97.96;-;0.16%
Feb 03, 2020;97.80;-;0.42%
Jan 31, 2020;97.39;-;-0.49%
Jan 30, 2020;97.87;-;-0.12%
Jan 29, 2020;97.99;-;-0.03%
Jan 28, 2020;98.02;-;0.06%
Jan 27, 2020;97.96;-;0.11%
Jan 24, 2020;97.85;-;0.16%
Jan 23, 2020;97.69;-;0.16%
Jan 22, 2020;97.53;-;0.00%
Jan 21, 2020;97.53;-;-0.08%
Jan 20, 2020;97.61;-;-0.03%
Jan 17, 2020;97.64;-;0.33%
Jan 16, 2020;97.32;-;0.09%
Jan 15, 2020;97.23;-;-0.14%
Jan 14, 2020;97.37;-;0.03%
Jan 13, 2020;97.34;-;-0.02%
Jan 10, 2020;97.36;-;-0.09%
Jan 09, 2020;97.45;-;0.15%
Jan 08, 2020;97.30;-;0.31%
Jan 07, 2020;97.00;-;0.34%
Jan 06, 2020;96.67;-;-0.18%
Jan 03, 2020;96.84;-;-0.01%
Jan 02, 2020;96.85;-;0.48%
Jan 01, 2020;96.39;-;0.00%
